page,row,col,char,rows,cols,direction
1,1,1,一,12,12,LTR
1,1,2,一,12,12,LTR
1,1,3,一,12,12,LTR
1,1,4,万,12,12,LTR
1,1,5,万,12,12,LTR
1,1,6,万,12,12,LTR
1,1,7,三,12,12,LTR
1,1,8,三,12,12,LTR
1,1,9,三,12,12,LTR
1,1,10,上,12,12,LTR
1,1,11,上,12,12,LTR
1,1,12,上,12,12,LTR
1,2,1,不,12,12,LTR
1,2,2,不,12,12,LTR
1,2,3,不,12,12,LTR
1,2,4,与,12,12,LTR
1,2,5,与,12,12,LTR
1,2,6,与,12,12,LTR
1,2,7,专,12,12,LTR
1,2,8,专,12,12,LTR
1,2,9,专,12,12,LTR
1,2,10,业,12,12,LTR
1,2,11,业,12,12,LTR
1,2,12,业,12,12,LTR
1,3,1,东,12,12,LTR
1,3,2,东,12,12,LTR
1,3,3,东,12,12,LTR
1,3,4,丝,12,12,LTR
1,3,5,丝,12,12,LTR
1,3,6,丝,12,12,LTR
1,3,7,两,12,12,LTR
1,3,8,两,12,12,LTR
1,3,9,两,12,12,LTR
1,3,10,个,12,12,LTR
1,3,11,个,12,12,LTR
1,3,12,个,12,12,LTR
1,4,1,中,12,12,LTR
1,4,2,中,12,12,LTR
1,4,3,中,12,12,LTR
1,4,4,丰,12,12,LTR
1,4,5,丰,12,12,LTR
1,4,6,丰,12,12,LTR
1,4,7,串,12,12,LTR
1,4,8,串,12,12,LTR
1,4,9,串,12,12,LTR
1,4,10,为,12,12,LTR
1,4,11,为,12,12,LTR
1,4,12,为,12,12,LTR
1,5,1,主,12,12,LTR
1,5,2,主,12,12,LTR
1,5,3,主,12,12,LTR
1,5,4,丽,12,12,LTR
1,5,5,丽,12,12,LTR
1,5,6,丽,12,12,LTR
1,5,7,之,12,12,LTR
1,5,8,之,12,12,LTR
1,5,9,之,12,12,LTR
1,5,10,九,12,12,LTR
1,5,11,九,12,12,LTR
1,5,12,九,12,12,LTR
1,6,1,书,12,12,LTR
1,6,2,书,12,12,LTR
1,6,3,书,12,12,LTR
1,6,4,买,12,12,LTR
1,6,5,买,12,12,LTR
1,6,6,买,12,12,LTR
1,6,7,乾,12,12,LTR
1,6,8,乾,12,12,LTR
1,6,9,乾,12,12,LTR
1,6,10,二,12,12,LTR
1,6,11,二,12,12,LTR
1,6,12,二,12,12,LTR
